;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
3FF6B1;UBS-300-Tranchée 60cm;Polyligne;7,85;=$G$1*($I$1+D249)
3FF6B5;UBS-300-Tranchée 60cm;Polyligne;8,09;=$G$1*($I$1+D250)
F15A7E;UBS-300-Tranchée 60cm;Polyligne;8,30;=$G$1*($I$1+D251)
F15A7D;UBS-300-Tranchée 60cm;Polyligne;8,55;=$G$1*($I$1+D252)
E8FE5D;UBS-300-Tranchée 60cm;Polyligne;9,58;=$G$1*($I$1+D253)
3FF6BB;UBS-300-Tranchée 60cm;Polyligne;9,58;=$G$1*($I$1+D254)
E8FE61;UBS-300-Tranchée 60cm;Polyligne;9,58;=$G$1*($I$1+D255)
E8FE5F;UBS-300-Tranchée 60cm;Polyligne;9,58;=$G$1*($I$1+D256)
E8FE63;UBS-300-Tranchée 60cm;Polyligne;9,58;=$G$1*($I$1+D257)
3FF6BA;UBS-300-Tranchée 60cm;Polyligne;10,04;=$G$1*($I$1+D258)
E8FE62;UBS-300-Tranchée 60cm;Polyligne;10,04;=$G$1*($I$1+D259)
E8FE60;UBS-300-Tranchée 60cm;Polyligne;10,04;=$G$1*($I$1+D260)
E8FE5E;UBS-300-Tranchée 60cm;Polyligne;10,04;=$G$1*($I$1+D261)
E8FE5C;UBS-300-Tranchée 60cm;Polyligne;10,04;=$G$1*($I$1+D262)
3FF4D0;UBS-300-Tranchée 60cm;Polyligne;10,31;=$G$1*($I$1+D263)
F15A7F;UBS-300-Tranchée 60cm;Polyligne;10,77;=$G$1*($I$1+D264)
EDD895;UBS-300-Tranchée 60cm;Polyligne;11,14;=$G$1*($I$1+D265)
F14BF6;UBS-300-Tranchée 60cm;Polyligne;11,20;=$G$1*($I$1+D266)
40ED07;UBS-300-Tranchée 60cm;Polyligne;11,24;=$G$1*($I$1+D267)
EE53DB;UBS-300-Tranchée 60cm;Polyligne;16,59;=$G$1*($I$1+D268)
